序号,姓名,英文/拼音,性别,国籍,机构名称,专业背景,类别,合作内容,职务
5,马翔,Xiang Ma,男,中国,工信部,工业设计,政府,,工信部工业文化发展中心副主任
16,吴剑,Jian Wu,男,中国,中国工业设计协会,工业设计,企业,,"海尔集团创新设计中心总经理
中国工业设计协会副会长"
17,李琦,Qi Li,男,中国,杭州瑞德设计股份有限公司,工业设计,企业,2019初评评委,"杭州瑞德设计股份有限公司董事长
Chief Manager of 1925"
18,雷海波,Haibo Lei,男,中国,太火鸟科技,工业设计,企业,,太火鸟科技创始人、CEO
19,丁伟,Wei Ding,男,中国,木马设计,工业设计,企业,,"木马设计公司创始人
华东理工大学艺术设计与传媒学院副院长"
20,余飚,Biao Yu,男,中国,广东宏翼创新集团,工业设计,企业,,广东宏翼创新集团创始人、董事长
21,万然,Ran Wan,男,中国,南昌大学,,企业,,"杭州点狮机器人科技有限公司
南昌大学教授"
22,李立成,Licheng Li,男,中国,杭州凹凸设计,工业设计,企业,,杭州凹凸设计总经理
23,周立钢,Ligang Zhou,男,中国,杭州博乐工业设计,工业设计,企业,,杭州博乐工业设计股份创始人、董事长
24,谢玉贤,Yuxian Xie,男,中国,速珂智能科技,,企业,,速珂智能科技创始人、CEO
25,孔洪强,Hongqiang Kong,男,中国,“不二”人文空间,,企业,,“不二”人文空间联合发起人
26,陈兴博,Xingbo Chen,男,中国,见过品牌,,企业,,"原深圳火乐科技发展有限公司CEO
见过品牌首席设计师"
27,邓嵘,Rong Deng,男,中国,江南大学,工业设计,协会,,"中国工业设计协会设计教育分会秘书长
江南大学设计学院工业设计系主任、副教授"
28,何盛,Sheng He,男,中国,中国工业设计协会,工业设计,协会,,中国工业设计协会设计教育分会副秘书长
29,张凯,Kai Zhang,男,中国,中国工业设计协会,工业设计,协会,,"中国工业设计协会设计研究专委会副秘书长
江苏大学艺术学院副院长、副教授"
30,崔天剑,Tianjian Cui,男,中国,,工业设计,协会,,"中国工业设计协会设计研究专委会副秘书长
东南大学艺术学院副院长、副教授"
31,李亚军,Yajun Li,男,中国,,工业设计,协会,,"中国机械工程学会工业设计分会常务理事
南京理工大学设计艺术与传媒学院院长、教授"
32,吴琼,Qiong Wu,男,中国,,工业设计,协会,,"中国机械工程学会工业设计专业委员会委员
南京工业大学艺术设计学院院长、教授"
33,张锡,Xi Zhang,男,中国,,,协会,,"江苏省工业设计学会副理事长兼秘书长
无锡太会学院艺术学院院长、教授"
39,祝骏,,男,中国,,,企业,,江苏翰港文化传播有限公司董事长
40,王愉翔,,男,中国,,,企业,,江苏古河创意设计研究院有限公司董事长
41,褚梵,,男,中国,,,企业,,正明道教育科技CEO
46,邱丰顺,KUMO CHIU,男,中国（台湾）,China(Taiwan),工业设计,企业,2019初评评委,"北京壹玖贰伍文化创意有限公司 总经理
CEO of RE&DER"
49,潘云鹤,,男,中国,,计算机,政府,2018总决赛评委,"中国工程院院士
Academician of the Chinese Academy of Engineering"
50,张明,,男,中国,,,协会,"2016优秀提名专家
2017提名专家","南京艺术学院工业设计学院院长
中国工业设计协会设计专业委员会副秘书长
中国工业设计协会教育分会副理事长
江苏工业设计学会副秘书长"
58,李建新,,男,中国,,,协会,,中国电器工业协会
59,童锦波,,男,中国,,,协会,,"意大利金圆规奖亚洲计划发起人、中国工业设计协会
知识产权交易平台总监"
