年份,国家,数量,EN
2016,奥地利,1,Austria
2016,澳大利亚,1,Australia
2016,澳门(中国),1,Macao
2016,巴西,2,Brazil
2016,波兰,1,Poland
2016,德国,10,Germany
2016,法国,1,France
2016,芬兰,2,Finland
2016,韩国,6,South Korea
2016,荷兰,8,Netherlands
2016,加拿大,1,Canada
2016,捷克,6,Czechia
2016,克罗地亚,8,Croatia
2016,马来西亚,1,Malaysia
2016,美国,11,United States of America
2016,日本,21,Japan
2016,瑞士,7,Switzerland
2016,台湾（中国）,152,Taiwan
2016,西班牙,3,Spain
2016,匈牙利,1,Hungary
2016,以色列,1,Israel
2016,意大利,23,Italy
2016,印度,2,India
2016,印度尼西亚,6,Indonesia
2016,英国,3,United Kingdom
2016,中国,1928,China
2017,爱沙尼亚,1,Estonia
2017,奥地利,5,Austria
2017,澳大利亚,15,Australia
2017,巴西,1,Brazil
2017,比利时,5,Belgium
2017,冰岛,2,Iceland
2017,波兰,4,Poland
2017,丹麦,13,Denmark
2017,德国,70,Germany
2017,俄罗斯,1,Russia
2017,法国,21,France
2017,芬兰,6,Finland
2017,韩国,32,South Korea
2017,荷兰,45,Netherlands
2017,立陶宛,1,Lithuania
2017,美国,259,United States of America
2017,孟加拉,1,Bangladesh
2017,墨西哥,1,Mexico
2017,挪威,5,Norway
2017,日本,51,Japan
2017,瑞典,16,Sweden
2017,瑞士,17,Switzerland
2017,塞尔维亚,2,Serbia
2017,斯洛文尼亚,1,Slovenia
2017,台湾（中国）,13,Taiwan
2017,泰国,2,Thailand
2017,土耳其,2,Turkey
2017,乌克兰,1,Ukraine
2017,西班牙,18,Spain
2017,香港（中国）,10,Hong Kong
2017,新加坡,5,Singapore
2017,新西兰,3,New Zealand
2017,匈牙利,2,Hungary
2017,以色列,13,Israel
2017,意大利,36,Italy
2017,印度,2,India
2017,印度尼西亚,1,Indonesia
2017,英国,71,United Kingdom
2017,中国,321,China
2018,安提瓜岛,1,Antigua and Barb.
2018,澳大利亚,2,Australia
2018,澳门(中国),35,Macao
2018,巴勒斯坦,1,Palestine
2018,巴西,2,Brazil
2018,保加利亚,2,Bulgaria
2018,比利时,6,Belgium
2018,波兰,3,Poland
2018,德国,31,Germany
2018,法国,11,France
2018,芬兰,7,Finland
2018,韩国,17,South Korea
2018,荷兰,18,Netherlands
2018,加拿大,8,Canada
2018,克罗地亚,2,Croatia
2018,马来西亚,3,Malaysia
2018,美国,29,United States of America
2018,孟加拉,1,Bangladesh
2018,墨西哥,3,Mexico
2018,南非,4,South Africa
2018,日本,52,Japan
2018,瑞典,1,Sweden
2018,瑞士,5,Switzerland
2018,塞尔维亚,13,Serbia
2018,泰国,3,Thailand
2018,土耳其,27,Turkey
2018,乌克兰,2,Ukraine
2018,西班牙,16,Spain
2018,希腊,3,Greece
2018,香港（中国）,49,Hong Kong
2018,新加坡,2,Singapore
2018,匈牙利,1,Hungary
2018,伊朗,1,Iran
2018,以色列,11,Israel
2018,意大利,36,Italy
2018,印度,28,India
2018,印度尼西亚,30,Indonesia
2018,英国,24,United Kingdom
2018,智利,1,Chile
2018,中国,7070,China
2019,阿根廷,1,Argentina
2019,奥地利,4,Austria
2019,澳大利亚,2,Australia
2019,澳门(中国),3,Macao
2019,巴西,1,Brazil
2019,比利时,5,Belgium
2019,丹麦,2,Denmark
2019,德国,9,Germany
2019,俄罗斯,1,Russia
2019,法国,7,France
2019,芬兰,1,Finland
2019,韩国,22,South Korea
2019,荷兰,3,Netherlands
2019,加拿大,1,Canada
2019,克罗地亚,3,Croatia
2019,拉脱维亚共和国,3,Latvia
2019,美国,29,United States of America
2019,挪威,2,Norway
2019,葡萄牙,1,Portugal
2019,葡萄牙,1,Portugal
2019,日本,49,Japan
2019,瑞典,7,Sweden
2019,塞尔维亚,11,Serbia
2019,斯洛文尼亚,1,Slovenia
2019,台湾（中国）,98,Taiwan
2019,泰国,1,Thailand
2019,土耳其,28,Turkey
2019,西班牙,2,Spain
2019,新加坡,5,Singapore
2019,新西兰,1,New Zealand
2019,以色列,3,Israel
2019,意大利,14,Italy
2019,印度,60,India
2019,印度尼西亚,2,Indonesia
2019,英国,20,United Kingdom
2019,中国,5587,China
2020,阿根廷,1,Argentina
2020,埃及,3,Egypt
2020,爱尔兰,2,Ireland
2020,澳大利亚,1,Australia
2020,澳门(中国),8,Macao
2020,巴西,3,Brazil
2020,比利时,8,Belgium
2020,德国,9,Germany
2020,法国,6,France
2020,芬兰,4,Finland
2020,哥伦比亚,1,Colombia
2020,哥斯达黎加,1,Costa Rica
2020,韩国,17,South Korea
2020,荷兰,6,Netherlands
2020,拉脱维亚共和国,1,Latvia
2020,美国,13,United States of America
2020,墨西哥,1,Mexico
2020,日本,76,Japan
2020,瑞典,31,Sweden
2020,塞尔维亚,5,Serbia
2020,台湾（中国）,178,Taiwan
2020,泰国,3,Thailand
2020,土耳其,21,Turkey
2020,西班牙,9,Spain
2020,希腊,3,Greece
2020,香港（中国）,34,Hong Kong
2020,新加坡,5,Singapore
2020,新西兰,9,New Zealand
2020,以色列,17,Israel
2020,意大利,72,Italy
2020,印度,40,India
2020,印度尼西亚,1,Indonesia
2020,英国,131,United Kingdom
2020,智利,1,Chile
2020,中国,7447,China
2021,阿富汗,1,Afghanistan
2021,爱沙尼亚,68,Estonia
2021,澳大利亚,2,Australia
2021,澳门(中国),60,Macao
2021,巴西,2,Brazil
2021,德国,30,Germany
2021,俄罗斯,1,Russia
2021,法国,26,France
2021,韩国,33,South Korea
2021,荷兰,57,Netherlands
2021,捷克,1,Czechia
2021,克罗地亚,3,Croatia
2021,立陶宛,5,Lithuania
2021,马来西亚,3,Malaysia
2021,美国,55,United States of America
2021,墨西哥,4,Mexico
2021,南非,3,South Africa
2021,葡萄牙,9,Portugal
2021,日本,77,Japan
2021,瑞典,1,Sweden
2021,瑞士,2,Switzerland
2021,塞尔维亚,1,Serbia
2021,斯洛文尼亚,1,Slovenia
2021,台湾（中国）,189,Taiwan
2021,泰国,2,Thailand
2021,土耳其,4,Turkey
2021,西班牙,6,Spain
2021,希腊,2,Greece
2021,香港（中国）,29,Hong Kong
2021,新加坡,5,Singapore
2021,新西兰,4,New Zealand
2021,以色列,1,Israel
2021,意大利,65,Italy
2021,印度,99,India
2021,英国,154,United Kingdom
2021,中国,6809,China
2022,阿根廷,2,Argentina
2022,阿拉伯联合酋长国,5,United Arab Emirates
2022,埃及,2,Egypt
2022,奥地利,26,Austria
2022,澳大利亚,4,Australia
2022,澳门(中国),10,Macao
2022,巴基斯坦,3,Pakistan
2022,比利时,1,Belgium
2022,波兰,1,Poland
2022,德国,12,Germany
2022,法国,6,France
2022,刚果民主共和国,4,Congo
2022,哥伦比亚,1,Colombia
2022,韩国,56,South Korea
2022,荷兰,60,Netherlands
2022,加拿大,5,Canada
2022,肯尼亚,74,Kenya
2022,马来西亚,2,Malaysia
2022,美国,56,United States of America
2022,秘鲁,1,Peru
2022,墨西哥,13,Mexico
2022,尼日利亚,5,Nigeria
2022,挪威,1,Norway
2022,葡萄牙,1,Portugal
2022,日本,51,Japan
2022,瑞典,11,Sweden
2022,瑞士,1,Switzerland
2022,斯洛伐克共和国,2,Slovakia
2022,斯威士兰,4,Switzerland
2022,台湾（中国）,108,Taiwan
2022,泰国,1,Thailand
2022,突尼斯,2,Tunisia
2022,土耳其,51,Turkey
2022,乌干达,2,Uganda
2022,西班牙,18,Spain
2022,香港（中国）,18,Hong Kong
2022,新加坡,2,Singapore
2022,新西兰,1,New Zealand
2022,伊朗,4,Iran
2022,以色列,3,Israel
2022,意大利,98,Italy
2022,印度,58,India
2022,英国,47,United Kingdom
2022,中国,7157,China
